51300,38300,66100,78300,51700,13300,52800,23600
34900,45200,30900,73200,37200,69800,25200,57300
88000,8100,20400,26400,35400,73600,51700,65600
47400,65200,54800,40300,46900,38700,8000,67400
75200,21700,39500,45900,19800,17400,78000,73600
13500,20600,45900,44000,26600,65700,64600,85100
34900,41000,53100,68500,57500,38500,47300,33200
68500,99400,26800,65000,3100,29200,49800,37500
19200,27200,20200,53400,100300,18500,83700,39500
4500,300,86000,45600,72800,59000,58600,34600
67500,49100,61000,20100,26000,21800,67700,64200
65700,67400,5200,52000,42700,25000,13700,85000
23400,23400,77200,74800,37300,58100,48700,32400
28100,51100,64900,57100,21100,42100,69700,46400
49100,41100,52100,69700,38300,39500,29600,51200
26400,18000,71100,32800,79800,72100,4000,59100
79900,71600,32700,71500,4200,38900,13600,56600
49000,73200,25400,62100,46100,60400,34200,29300
44800,61700,78700,25000,15200,43900,56700,47400
20900,3600,23600,40100,94900,56700,65500,56600
50700,59400,50000,49900,1800,62600,59000,49000
76800,17800,40700,7600,60600,70000,72600,30900
11800,68600,84000,21600,27800,91000,68800,3400
31000,85000,38500,42300,77800,46600,52500,3400
17200,85500,33500,53900,33400,94500,52300,3500
60300,74600,11400,36100,69300,15100,38100,64700
