50300,50300,50300,50300,50300,50300,50300,50300,50300,57400,50300,50300,50300,62800,50300,58900,50300,50300,50300,50300,50300,62800,83200,44700,86100,38500,52800,61800,62800,62800,56400,50300,33300,39900,82600,25000,51500,95100,50300,50300,50300,62800,50000,41800,100300,55900,89600,50300,50300,50300,61700,52400,69900,29800,93700,90300,82800,50300,61700,62800,50300,50300,43100,39200,87400,25900,18600,50300,50300,62800,62800,51900,99900,79200,53100,28200,36500,24600,50300,50300,60900,62800,50300,50300,50300,24500,24500,50300,56900,50300,50300,50300,62800,62800,50300,50300,50300,62800,53400,62800
50300,50300,50300,50300,58900,55900,50300,62800,50300,50300,62800,50300,50300,62800,59900,50300,50300,50300,50300,50300,50300,61700,26500,62500,86100,75900,84200,18400,50300,50300,50300,53900,34800,59300,94300,65200,24400,21500,50300,50300,62800,55900,72700,77600,24700,50300,24200,58900,50300,50300,62800,50300,86300,79100,72000,28700,27800,50300,50300,50300,62800,50300,77800,54100,91800,18600,18000,50300,50300,50300,62800,53900,46700,31600,81400,25700,16300,13600,62800,50300,62800,50300,50300,50300,62800,29100,29100,53400,50300,50300,50300,57400,62800,50300,50300,50300,50300,58900,62800,50300
50300,50300,62800,50300,50300,50300,50300,62800,50300,50300,50300,62800,50300,50300,59900,61700,50300,50300,50300,50300,62800,55900,69400,67800,58400,46800,35400,60600,62800,62800,50300,50300,54200,68700,17600,54900,59100,84800,50300,62800,62800,62800,30800,58500,58000,44000,27500,62800,56900,50300,62800,50300,28000,64600,26000,19600,18600,62800,50300,62800,50300,50300,32900,69800,52100,56500,68600,50300,50300,62800,50300,50300,59900,69300,73400,72700,75100,61300,50300,62800,62800,50300,62800,62800,50300,72300,72000,50300,50300,50300,55400,62800,62800,56900,50300,50300,61400,50300,61700,50300
62800,62800,50300,62800,62800,62800,55400,62000,50300,50300,50300,50300,62800,50300,62800,50300,50300,50300,50300,61700,50300,62800,59900,58400,57400,63600,77200,76800,50300,62800,50300,50300,70700,45700,42600,54500,58800,27600,61700,62800,62800,50300,49900,48100,76200,36900,24200,50300,50300,62800,62800,50300,27500,45300,71500,57800,19900,50300,62800,50300,50300,62800,44300,66700,76800,62600,29000,50300,50300,50300,61700,50300,48100,63100,63800,32800,24500,40100,50300,50300,50300,62800,62800,58900,50300,11300,11300,50300,62800,62800,62800,61700,50300,50300,50300,50300,62800,62800,50300,62800
50300,62800,50300,50300,50300,50300,50300,61700,50300,50300,50300,61400,62800,50300,50300,50300,50300,50300,50300,50300,61700,55400,14400,21600,23200,26000,91100,86400,52900,50300,50300,50300,85800,29900,18700,29600,32800,71900,50300,50300,53400,50300,88600,81500,67600,81200,82800,50300,62800,50300,62800,62800,90400,36200,18600,70700,85700,50300,62800,50300,50300,62000,90100,27800,22200,85700,96100,50300,50300,62800,62800,50300,14700,30200,26200,79600,33400,60000,50300,50300,50300,50300,62800,50300,50300,87000,85900,62800,50300,62800,50300,50300,62800,61700,62800,50300,50300,50300,50300,62800
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23300,14400,NULL,NULL,NULL,NULL,11200,NULL,NULL,NULL,21500,22100,NULL,NULL,NULL,NULL,23100,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62800,50300,50300,50300,50300,50300,62800,50300,50300,50300,50300,50300,60900,50300,50300,50300,50300,59900,62500,62800,55900,60900,53800,63600,74700,36700,13100,13100,50300,52400,50300,62800,64300,53800,10900,74700,71700,62600,55900,51900,62800,50300,71100,47200,11000,64900,73800,50300,50300,62800,62800,62800,67700,51900,39900,70900,63600,50300,50300,50300,60400,62800,70400,60100,15200,49700,72400,50500,50300,62800,62800,50300,67500,66700,68600,61500,44700,43700,50300,50300,50300,61700,62800,50300,62800,76400,76400,62800,50300,62800,50300,62800,62800,50300,50300,62800,50300,57900,62800,50300
50300,62800,50300,62800,61700,53900,50300,50300,62800,50300,50300,62000,50300,50300,50300,50300,59900,50300,50300,50300,62800,56400,37500,33700,41600,13200,47300,95500,50300,50300,50300,62800,14000,21900,79200,83400,78700,82400,50300,50300,50300,50300,2400,20500,47400,68300,94200,50300,62800,62800,50300,62800,26300,17000,82400,83000,85000,50300,62800,59400,50300,50300,7700,20900,89600,72800,48100,50300,50300,54900,58400,62800,10700,53600,18400,43200,72400,79500,50300,50300,62800,62800,62800,58400,50300,30300,30900,50300,62800,50300,50300,53900,58400,50300,61700,50300,50300,50300,50300,50300
